"nro_corrida","cant_grupos","cant_pasajeros","tpo_cola_taquilla_prom","tpo_cola_taquilla_min","tpo_cola_taquilla_max","tpo_cola_taquilla_p50","tpo_cola_maquina_prom","tpo_cola_maquina_min","tpo_cola_maquina_max","tpo_cola_maquina_p50","tpo_cola_torniquete_prom","tpo_cola_torniquete_min","tpo_cola_torniquete_max","tpo_cola_torniquete_p50","max_area_taquilla","max_area_maquina","max_area_torniquete","tpo_sistema_prom","tpo_sistema_min","tpo_sistema_max","tpo_sistema_p50","porcentaje_ocup_taquilla","porcentaje_ocup_maquina","porcentaje_ocup_torniquete"
48,10189,35491,0.2351,0.0,3.5263,0.0,58.979,36.2542,93.541,99.273,1.3264,0.0,5.4892,3.8027,14,921,185,0.6733,0.0796,6.0594,0.3892,48.8202,99.9956,96.2234
49,10136,35320,0.2424,0.0,3.1812,1.0731,54.5408,22.1934,92.4036,50.9409,1.762,0.0,8.2424,3.5302,20,900,260,0.6756,0.028,4.8797,0.8259,48.7133,99.9796,96.2708
50,10219,35644,0.2802,0.0,3.8517,0.0,78.5653,36.5368,104.6075,84.2888,1.4697,0.0,6.489,0.0,24,1111,234,0.677,0.2048,5.702,1.5276,51.1923,99.9976,95.7266
51,10205,35607,0.2622,0.0,3.1043,0.7118,93.8885,51.0187,130.9156,192.0925,1.6153,0.0,7.1305,0.1719,15,1369,241,0.6782,0.0829,5.1725,0.6007,50.9869,99.9815,96.6665
52,10448,36994,0.2599,0.0,2.4475,0.8458,89.0618,32.9628,162.9782,173.8659,2.7642,0.0,9.244,0.5314,20,1659,301,0.6703,0.2027,5.0855,0.5877,51.5883,99.936,98.0681
53,10298,36344,0.2837,0.0,2.7448,0.0,65.6717,5.1794,112.4938,66.4686,1.6949,0.0,6.0339,1.4221,18,1181,214,0.6718,0.027,6.4877,0.249,51.0682,100.0028,97.9305
54,10256,36356,0.2329,0.0,3.2705,0.0,67.1724,22.5423,129.1207,63.5204,2.1599,0.0,7.5317,4.2861,19,1262,250,0.6719,0.1966,6.5288,3.2209,49.3095,99.9529,98.0806
55,10151,35506,0.237,0.0,2.5756,0.0,76.2643,22.7015,127.4041,151.226,1.1329,0.0,4.9778,1.8875,16,1251,156,0.6779,0.0515,6.6344,0.378,49.7817,99.9727,95.7989
56,10224,35606,0.2717,0.0,3.4793,0.9344,56.2069,10.1289,113.2492,55.4339,1.8046,0.0,8.0371,1.4067,20,1009,274,0.6749,0.1106,5.7871,0.3191,49.461,100.0372,96.4728
57,10242,36241,0.2666,0.0,2.9167,1.4322,78.9283,34.2424,137.1755,84.2564,1.8628,0.0,7.822,4.6652,18,1466,262,0.6749,0.0576,5.9936,0.7156,50.9763,100.0089,97.446
58,10226,36016,0.2639,0.0,3.101,0.0801,98.1431,36.7408,161.4989,192.153,1.0372,0.0,4.5026,1.9349,21,1652,149,0.6771,0.1958,5.7703,0.5436,50.967,99.9898,95.918
59,10302,36074,0.2848,0.0,3.0856,1.0719,76.3039,30.4855,130.0658,70.9929,2.5357,0.0,6.6993,2.3474,18,1334,238,0.675,0.0512,6.5929,0.5391,50.232,99.9725,98.1652
60,10314,35930,0.2455,0.0,2.6286,0.5351,70.2628,28.4176,122.9295,136.4234,1.8203,0.0,5.4992,3.239,16,1134,196,0.6756,0.0109,6.0181,1.0068,51.3042,99.995,97.965
61,10231,35643,0.2559,0.0,2.7932,0.0,75.3392,21.4981,129.034,166.448,1.5642,0.0,5.8561,0.9597,17,1262,199,0.6766,0.0366,5.8213,0.9164,49.3273,99.9602,96.9521
62,10150,35287,0.2703,0.0,3.3279,0.0,75.5305,28.8564,114.791,154.8584,1.0762,0.0,4.5943,2.3199,16,1114,158,0.6776,0.07,6.1163,1.4146,50.1491,99.9897,95.495
63,10187,35542,0.235,0.0,3.3095,0.0,80.4587,28.3465,131.857,81.9136,1.5796,0.0,6.7488,1.7706,19,1294,214,0.6766,0.1577,5.7068,1.0343,49.2206,99.8971,95.993
64,10374,36448,0.2403,0.0,2.4785,0.0,88.96,31.6584,145.235,173.4147,2.7976,0.0,7.8842,11.7005,15,1495,268,0.6705,0.202,5.5502,1.0402,48.5392,99.9348,98.7026
65,10176,35782,0.2373,0.0,2.6545,0.4804,113.6121,54.0839,171.3844,109.6261,1.2586,0.0,5.1706,0.9887,17,1639,179,0.6761,0.0999,5.3173,0.7024,48.9908,100.0095,96.5079
66,10128,35156,0.242,0.0,2.9168,0.0,93.086,37.4804,152.3392,182.373,1.2119,0.0,5.0057,2.0263,14,1372,176,0.6762,0.0286,5.201,1.0058,49.1553,99.9694,93.7789
67,10252,35630,0.2371,0.0,2.6419,0.1927,93.3247,49.7996,155.5603,95.0756,1.5633,0.0,8.0558,4.4699,16,1594,261,0.677,0.0454,6.6381,1.8335,48.7966,100.0008,96.4442
68,10171,35394,0.2406,0.0,2.9606,0.0,50.9619,23.8775,87.585,103.3277,1.962,0.0,7.4694,0.504,15,854,250,0.675,0.0312,5.8441,0.6517,48.0687,100.0225,96.6919
69,10371,36867,0.2761,0.0,2.7297,1.9039,101.4777,42.8916,174.005,92.7515,5.7872,0.0,13.686,6.6319,25,1738,454,0.6724,0.105,5.5326,0.5663,50.8554,100.0105,99.3503
70,10293,36234,0.2387,0.0,2.5524,1.0826,127.3939,58.0228,186.0145,128.5986,1.6804,0.0,6.5101,0.1775,15,1898,205,0.6741,0.0691,5.3511,0.2566,49.4471,100.0655,96.9615
71,10166,35770,0.2655,0.0,3.8671,0.0,70.0636,25.3362,118.2926,122.5004,2.5616,0.0,8.6271,0.8585,17,1142,275,0.6761,0.0021,6.2211,0.8061,50.7022,99.9779,97.3212
72,10199,35969,0.2436,0.0,2.6318,0.0,93.0671,38.7954,135.4051,100.4548,1.9222,0.0,7.557,1.2296,17,1425,269,0.674,0.0277,6.0893,0.3495,50.4469,99.9825,97.0493
73,10256,35384,0.2535,0.0,3.5936,0.0,61.8012,21.4502,106.6318,122.031,1.4902,0.0,5.1802,0.0422,16,1109,180,0.6785,0.0936,6.4752,2.4672,49.5019,99.9866,95.8201
74,9965,34998,0.2266,0.0,2.4331,0.2203,69.7825,29.2809,111.2643,127.9799,1.2257,0.0,4.9546,0.0,17,1007,162,0.6777,0.1188,9.5498,1.2208,48.1898,100.0105,96.1337
75,10262,35693,0.2586,0.0,3.1579,0.0518,86.6853,27.8893,131.4725,92.5267,1.6968,0.0,6.7074,3.8713,17,1244,231,0.677,0.0774,5.2962,1.719,50.9823,99.9649,96.8654
76,10167,35376,0.2606,0.0,2.3076,0.0,80.2217,35.5326,118.4881,82.8521,1.672,0.0,6.2278,0.1605,17,1133,221,0.6773,0.069,6.8142,1.0045,50.0258,100.0121,96.8591
77,10371,36434,0.2476,0.0,2.7475,0.1154,73.5597,21.9813,141.2956,77.1241,2.248,0.0,7.3703,1.9643,15,1389,244,0.6724,0.0342,5.9206,0.2743,49.9165,100.0002,97.8468
78,10394,36358,0.2542,0.0,3.3189,0.0415,87.4848,36.1145,145.9897,80.7132,3.4281,0.0,9.0645,8.7974,17,1491,312,0.6751,0.0787,6.3727,1.8246,50.4861,100.0068,98.9179
79,10325,36048,0.2544,0.0,2.7997,0.0,125.5773,48.6396,182.6204,123.5432,1.7645,0.0,7.7514,0.897,15,1791,282,0.6745,0.0437,6.5539,0.8384,50.3361,99.9661,96.5799
80,10176,35772,0.2371,0.0,3.0754,0.0,102.9018,43.2982,152.5553,102.2609,1.3179,0.0,4.962,0.167,15,1434,181,0.6721,0.0184,5.5851,3.6961,47.7345,99.992,96.7672
81,10262,35933,0.2565,0.0,2.6177,0.8889,81.942,29.5037,123.2647,169.2316,5.1356,0.0,12.3023,17.897,17,1136,414,0.6764,0.0605,6.1799,1.2903,50.5332,100.0286,98.744
82,10321,36385,0.249,0.0,3.108,0.9034,79.8006,21.3217,139.4394,90.5837,2.0865,0.0,9.5703,2.4994,18,1395,327,0.6727,0.144,5.7752,0.8763,50.0144,99.9983,97.8523
83,10372,36028,0.276,0.0,2.6548,0.0,85.2985,38.5075,124.0099,88.1316,1.4045,0.0,5.2254,3.4654,21,1183,193,0.6749,0.1971,5.7461,1.1519,51.9647,99.9928,96.9866
84,10132,35776,0.2694,0.0,2.8605,1.1488,81.9296,29.2155,128.7907,180.5758,1.0892,0.0,5.0769,1.4039,18,1317,171,0.6765,0.2072,5.806,0.3036,50.8444,100.0359,95.355
85,10270,35658,0.2445,0.0,2.882,0.1619,65.0719,31.1825,114.2832,65.8194,1.78,0.0,7.8738,3.1802,15,1131,260,0.6749,0.035,7.4943,0.428,48.8096,99.9937,97.0799
86,10137,35278,0.2753,0.0,2.8091,0.0,88.7728,39.0261,136.8825,88.8361,1.1895,0.0,5.4237,1.1138,19,1346,183,0.6804,0.205,5.7197,1.8434,50.5605,99.9463,95.471
87,10181,35339,0.2663,0.0,4.4599,0.0,77.4069,40.2901,122.4131,152.1554,1.4031,0.0,6.1806,0.9217,24,1263,208,0.6766,0.0632,5.5947,1.0876,48.9665,100.0744,96.4575
88,10252,36006,0.254,0.0,2.8573,1.189,108.228,43.981,161.5265,108.29,2.1744,0.0,7.3433,3.3399,17,1611,239,0.6752,0.0833,5.4695,1.4464,49.7662,100.0234,97.2458
89,10223,35670,0.256,0.0,2.9113,0.0,80.3355,37.503,141.2712,68.9379,1.701,0.0,7.6863,0.3269,17,1435,262,0.6751,0.0218,5.1108,1.4257,48.8516,99.9928,95.9147
90,10196,35392,0.2217,0.0,2.397,0.0,80.3688,43.7369,113.518,154.6071,1.4309,0.0,4.8831,2.5012,14,1127,168,0.6755,0.2054,5.8527,1.5312,48.2806,99.9861,96.4216
91,10224,35955,0.2585,0.0,3.2755,0.0,80.5303,29.695,131.7892,80.0001,2.229,0.0,7.9058,1.6791,16,1262,282,0.6757,0.0575,6.512,2.1257,50.591,99.9726,97.8392
92,10318,36405,0.2566,0.0,2.5288,0.138,89.2068,32.9656,152.9019,175.2916,3.2383,0.0,11.4139,10.3938,15,1458,378,0.673,0.0189,6.4462,1.0192,50.779,100.0177,98.1887
93,10156,35521,0.2736,0.0,3.5489,0.0,68.2931,41.5777,103.9466,135.6098,1.4264,0.0,6.1547,1.6127,20,1036,212,0.6773,0.1323,5.3098,0.5905,50.5016,100.0211,96.8637
94,10318,36038,0.2541,0.0,2.9586,0.0,65.2001,32.5515,100.7338,118.2891,3.9009,0.0,10.1915,6.0916,18,1001,350,0.6723,0.0473,6.7454,0.742,49.3885,100.0084,98.0906
95,10261,35416,0.2204,0.0,2.5793,0.9214,92.5114,29.9731,142.5255,88.2455,0.8523,0.0,4.2738,3.7927,20,1415,145,0.6757,0.2048,6.2933,1.5217,46.8597,100.0389,94.9428
96,10056,35199,0.2284,0.0,2.3803,0.6827,75.9101,37.9535,128.6457,79.2341,2.3733,0.0,8.1757,0.0,17,1272,269,0.6775,0.0933,5.5801,0.2467,48.1362,100.0148,96.7429
97,10226,36212,0.2632,0.0,2.6367,1.0114,83.8161,27.3582,130.1043,164.5322,1.4448,0.0,6.0246,5.4127,16,1312,211,0.6734,0.0997,5.8777,0.3187,50.1326,100.0102,96.674
98,10231,35936,0.2531,0.0,3.2765,0.9456,87.6618,28.9748,136.9709,93.627,3.28,0.0,8.2382,4.4575,16,1281,291,0.6733,0.0604,5.6623,0.2438,50.3265,100.0501,98.0502
99,10274,35423,0.2466,0.0,4.1964,0.0,66.4611,20.2885,110.1963,69.5054,1.2848,0.0,6.4833,6.8793,16,1116,191,0.6773,0.2048,5.7589,0.599,50.204,99.9685,95.6215
100,10368,35836,0.2501,0.0,2.6582,0.0,82.6521,41.8967,133.1541,160.4369,3.393,0.0,13.3545,0.9819,22,1308,432,0.6735,0.0102,5.8124,0.5258,48.9277,100.0803,98.7453
