"nro_corrida","cant_grupos","cant_pasajeros","tpo_cola_taquilla_prom","tpo_cola_taquilla_min","tpo_cola_taquilla_max","tpo_cola_taquilla_p50","tpo_cola_maquina_prom","tpo_cola_maquina_min","tpo_cola_maquina_max","tpo_cola_maquina_p50","tpo_cola_torniquete_prom","tpo_cola_torniquete_min","tpo_cola_torniquete_max","tpo_cola_torniquete_p50","max_area_taquilla","max_area_maquina","max_area_torniquete","tpo_sistema_prom","tpo_sistema_min","tpo_sistema_max","tpo_sistema_p50","porcentaje_ocup_taquilla","porcentaje_ocup_maquina","porcentaje_ocup_torniquete"
62,10283,35986,0.0983,0.0,2.6551,0.0,0.4535,0.0,3.9204,0.7463,0.0777,0.0,1.2432,0.175,11,55,74,0.6901,0.2032,6.4802,0.968,30.4416,78.8296,66.6632
63,10326,36395,0.1045,0.0,2.3927,0.0,0.3984,0.0,3.8282,0.4311,0.0746,0.0,1.0916,0.0069,11,50,62,0.6918,0.2043,7.8021,2.5522,30.9336,80.563,67.4815
64,10191,35557,0.0967,0.0,2.3392,0.0,0.3086,0.0,3.4625,0.1289,0.0708,0.0,1.0848,0.1624,13,55,54,0.6854,0.2038,5.738,1.9462,30.2463,76.4476,65.6468
65,10440,36830,0.1099,0.0,1.9407,0.0,0.3924,0.0,3.0908,0.0,0.0811,0.0,1.0585,0.0279,19,47,56,0.6899,0.2068,5.8349,0.8768,31.5744,80.0711,68.4623
66,10219,36214,0.093,0.0,1.9772,0.0,0.4357,0.0,3.7105,0.3158,0.0791,0.0,0.89,0.0,13,50,48,0.6828,0.2028,5.5789,0.3014,29.3552,77.1062,67.1627
67,10499,36971,0.0984,0.0,2.0537,0.0,0.4561,0.0,3.0757,0.3001,0.0754,0.0,1.1441,0.1927,15,43,55,0.688,0.2063,5.6066,0.4614,30.7318,80.2321,68.814
68,10380,36086,0.1059,0.0,2.4216,0.142,0.3419,0.0,3.3027,0.3382,0.0751,0.0,1.2465,0.6546,12,51,75,0.6867,0.1882,5.2209,0.6221,30.0498,78.2754,66.5662
69,10289,35637,0.1003,0.0,2.5338,0.0,0.4168,0.0,4.4373,0.0,0.0676,0.0,1.1758,0.203,14,61,54,0.6908,0.2062,6.7555,0.8211,29.4933,78.5632,65.9585
70,10312,36431,0.094,0.0,2.3254,0.4184,0.4337,0.0,5.3479,0.3853,0.0801,0.0,1.0308,0.0,11,82,57,0.688,0.1025,6.1406,0.968,30.6025,79.1425,67.8984
71,10292,36655,0.106,0.0,3.2916,0.0,0.3572,0.0,3.1029,0.4541,0.0963,0.0,0.9557,0.0211,15,44,64,0.6858,0.2037,5.9435,0.2823,30.7525,78.2675,68.6392
72,10241,35670,0.0983,0.0,3.2577,0.5466,0.3557,0.0,2.9464,0.0,0.0656,0.0,0.8884,0.0,14,45,42,0.6877,0.2053,5.4134,1.2266,29.3883,77.677,65.9871
73,10123,35250,0.0959,0.0,2.0283,0.0,0.4016,0.0,4.3151,0.259,0.0675,0.0,0.8708,0.2126,14,72,47,0.6876,0.2037,7.4425,0.7627,28.978,77.2086,64.9391
74,10180,35457,0.103,0.0,2.6627,0.1658,0.2855,0.0,3.0411,0.044,0.0741,0.0,1.3379,0.3887,11,39,62,0.6862,0.2044,5.6274,1.428,29.509,76.9607,65.7077
75,10356,36190,0.0938,0.0,2.3475,0.6454,0.3888,0.0,3.8397,0.0,0.0762,0.0,1.0008,0.0,12,51,53,0.6864,0.2048,5.712,1.6891,30.0995,78.1236,66.9089
76,10239,35902,0.1009,0.0,2.3775,0.0,0.3062,0.0,3.5187,0.0436,0.0742,0.0,1.2021,0.2269,13,40,59,0.6832,0.2063,6.3313,2.5726,29.656,77.1913,65.905
77,10340,36437,0.1007,0.0,2.1654,0.0,0.4518,0.0,5.6223,1.2885,0.081,0.0,1.4951,0.0454,13,84,71,0.6898,0.206,6.9579,0.7982,30.8216,79.971,66.8796
78,10120,35403,0.0963,0.0,2.0088,0.0369,0.3779,0.0,3.057,0.0,0.0715,0.0,0.9797,0.0,11,38,49,0.6904,0.2062,6.1588,0.444,28.9867,78.2201,66.141
79,10233,36118,0.0964,0.0,2.0508,0.0,0.5357,0.0,5.7579,0.2598,0.0655,0.0,0.7931,0.0,13,76,48,0.6932,0.2013,5.2259,1.8014,30.5393,80.4252,66.6917
80,10353,36177,0.0992,0.0,1.9622,0.0,0.4199,0.0,3.7116,0.0,0.0708,0.0,1.1858,0.0,13,62,53,0.6885,0.0608,5.8798,0.2384,29.8716,79.5476,66.3632
81,10250,35580,0.0997,0.0,2.4206,0.0035,0.3596,0.0,3.1198,0.0391,0.0696,0.0,0.9685,0.0302,11,43,53,0.6874,0.2032,5.5958,1.165,29.479,77.2856,65.9128
82,10173,35432,0.11,0.0,2.1578,0.0,0.3419,0.0,2.764,0.0,0.0652,0.0,0.9239,0.0671,14,43,49,0.6907,0.2029,6.3368,1.518,29.5803,78.1058,65.7631
83,10233,36125,0.0968,0.0,2.304,0.0,0.4046,0.0,3.7389,0.0793,0.0711,0.0,1.0683,0.542,15,57,53,0.6863,0.2045,7.0475,0.3196,29.3601,78.4352,67.0079
84,10149,35739,0.1099,0.0,2.4412,0.1709,0.4275,0.0,4.3749,0.2953,0.0792,0.0,1.275,0.0,16,57,61,0.688,0.2024,6.1149,0.2989,29.9455,77.6871,66.2506
85,10120,34838,0.0869,0.0,1.8935,0.0252,0.3408,0.0,4.1245,0.0,0.0731,0.0,1.4949,0.0846,13,57,76,0.6836,0.2042,5.7624,0.5263,27.9893,75.0242,64.5297
86,10107,35633,0.1061,0.0,2.514,0.0,0.5142,0.0,4.6435,0.0679,0.0795,0.0,1.1084,0.0,18,71,55,0.694,0.2015,6.2,0.4031,29.981,79.2424,66.3057
87,10215,35180,0.0837,0.0,2.2321,0.0,0.3344,0.0,3.0856,1.2012,0.0561,0.0,0.9631,0.0,11,43,58,0.686,0.2066,6.8627,0.4281,28.6546,76.5781,64.5729
88,10183,35686,0.1069,0.0,2.715,0.0,0.4189,0.0,3.3792,0.2416,0.0699,0.0,0.9282,0.0,13,55,47,0.6896,0.2031,5.721,0.764,30.3788,78.2497,65.9244
89,10151,36486,0.1029,0.0,2.3005,0.0,0.6151,0.0,6.0938,0.5398,0.079,0.0,1.0221,0.4005,14,72,52,0.6959,0.203,7.1511,2.2679,30.8962,81.9441,67.805
90,10009,35111,0.1013,0.0,2.04,0.0,0.3278,0.0,3.4476,0.0,0.0768,0.0,1.3389,0.0,11,47,61,0.6843,0.2026,5.5342,0.5393,28.2551,76.1479,64.6918
